,Name,Mean,Median,Mode,STD,Q1,Q3,IQR,UpperBound,LowerBound
0,Age,39.42795657530028,40.0,85.0,15.119359950371694,27.0,51.0,24.0,87.0,-9.0
1,Flight Distance,1190.3163920542038,844.0,4983.0,997.4524773267642,414.0,1744.0,1330.0,3739.0,-1581.0
2,Inflight wifi service,2.7286957191253465,3.0,5.0,1.3293401359716595,2.0,4.0,2.0,7.0,-1.0
3,Departure/Arrival time convenient,3.0575993224514937,3.0,5.0,1.5267414852348664,2.0,4.0,2.0,7.0,-1.0
4,Ease of Online booking,2.7568755774561136,3.0,5.0,1.4017396056161733,2.0,4.0,2.0,7.0,-1.0
5,Gate location,2.976924853711118,3.0,5.0,1.2785196725585524,2.0,4.0,2.0,7.0,-1.0
6,Food and drink,3.2047736372035724,3.0,5.0,1.3299330685961785,2.0,4.0,2.0,7.0,-1.0
7,Online boarding,3.252633199876809,3.0,5.0,1.3507187739855575,2.0,4.0,2.0,7.0,-1.0
8,Seat comfort,3.4413612565445026,4.0,5.0,1.3192888837203363,2.0,5.0,3.0,9.5,-2.5
9,Inflight entertainment,3.358076686171851,4.0,5.0,1.3340489832018483,2.0,4.0,2.0,7.0,-1.0
10,On-board service,3.3830227902679395,4.0,5.0,1.2870993531870345,2.0,4.0,2.0,7.0,-1.0
11,Leg room service,3.3508777332922697,4.0,5.0,1.316251772457139,2.0,4.0,2.0,7.0,-1.0
12,Baggage handling,3.632114259316292,4.0,5.0,1.1800245722386569,3.0,5.0,2.0,8.0,0.0
13,Checkin service,3.3062673236834,3.0,5.0,1.2661853329512256,3.0,4.0,1.0,5.5,1.5
14,Inflight service,3.6421927933477054,4.0,5.0,1.1766690733250007,3.0,5.0,2.0,8.0,0.0
15,Cleanliness,3.286325839236218,3.0,5.0,1.3136822346517028,2.0,4.0,2.0,7.0,-1.0
16,Departure Delay in Minutes,14.713712657838004,0.0,1592.0,38.07112621503653,0.0,12.0,12.0,30.0,-18.0
17,Arrival Delay in Minutes,15.045465044656606,0.0,1584.0,38.41635271637796,0.0,13.0,13.0,32.5,-19.5
